Autor,Favs,Retweets,Tiempo de Tweet,Tweet
Tridentino,0,67,2019-05-16 23:22:38,"RT @AR2i21912: ""Vamos a apelar al corporativismo, a los acuerdos políticos para proteger a los ladrones, o vamos a ser valientes y votar a…"
rosanna maria mieres,0,67,2019-05-16 23:07:42,"RT @AR2i21912: ""Vamos a apelar al corporativismo, a los acuerdos políticos para proteger a los ladrones, o vamos a ser valientes y votar a…"
Hernán Rivas,0,0,2019-05-16 23:02:18,"Que triste papel está haciendo Enrique Riera mientras acusa a medio pueblo menos a los suyos, cerquita de él alguno… https://t.co/JNwMZhxPj2"
C A  ☠   ,0,29,2019-05-16 23:02:11,"RT @INFOBODEGAS1: Tiene cara @EnriqueRieraE para estar hablando de Corrupción tan vehementemente, estando a su lado y en su equipo Zacarías…"
Gattuso,0,67,2019-05-16 22:59:44,"RT @AR2i21912: ""Vamos a apelar al corporativismo, a los acuerdos políticos para proteger a los ladrones, o vamos a ser valientes y votar a…"
Dario Fleitas,0,67,2019-05-16 22:57:49,"RT @AR2i21912: ""Vamos a apelar al corporativismo, a los acuerdos políticos para proteger a los ladrones, o vamos a ser valientes y votar a…"
Jtosmardiaz,0,29,2019-05-16 22:57:20,"RT @INFOBODEGAS1: Tiene cara @EnriqueRieraE para estar hablando de Corrupción tan vehementemente, estando a su lado y en su equipo Zacarías…"
Rubén Román,0,67,2019-05-16 22:54:03,"RT @AR2i21912: ""Vamos a apelar al corporativismo, a los acuerdos políticos para proteger a los ladrones, o vamos a ser valientes y votar a…"
oscar simon,0,67,2019-05-16 22:40:00,"RT @AR2i21912: ""Vamos a apelar al corporativismo, a los acuerdos políticos para proteger a los ladrones, o vamos a ser valientes y votar a…"
ivan,0,67,2019-05-16 22:29:50,"RT @AR2i21912: ""Vamos a apelar al corporativismo, a los acuerdos políticos para proteger a los ladrones, o vamos a ser valientes y votar a…"
sandra,0,32,2019-05-16 22:24:25,RT @AR2i21912: Quiero saber porqué mierda Javier Zacarías Irún sigue votando y rechazando leyes. Porqué sigue en el senado? por menos ya  l…
javier lezcano,0,67,2019-05-16 22:20:47,"RT @AR2i21912: ""Vamos a apelar al corporativismo, a los acuerdos políticos para proteger a los ladrones, o vamos a ser valientes y votar a…"
Celso,0,67,2019-05-16 22:10:03,"RT @AR2i21912: ""Vamos a apelar al corporativismo, a los acuerdos políticos para proteger a los ladrones, o vamos a ser valientes y votar a…"
El perro bobi,0,67,2019-05-16 22:07:52,"RT @AR2i21912: ""Vamos a apelar al corporativismo, a los acuerdos políticos para proteger a los ladrones, o vamos a ser valientes y votar a…"
ונום,0,3,2019-05-16 22:03:19,RT @rossanariveross: Estoy escuchando atentamente al senador Enrique Riera argumentar sobre la pérdida de investidura en contra del senador…
Piti Espinoza,0,29,2019-05-16 22:01:18,"RT @INFOBODEGAS1: Tiene cara @EnriqueRieraE para estar hablando de Corrupción tan vehementemente, estando a su lado y en su equipo Zacarías…"
Oscar D. Perez PY,0,1,2019-05-16 21:45:42,"@EnriqueRieraE A ver si propulsas también la expulsión de Zacarías Irún ,, el robo más que buzarquis y vos!!!
Eñembotavy jina lopi,,"
Matutte Trinidad Rios,0,67,2019-05-16 21:41:50,"RT @AR2i21912: ""Vamos a apelar al corporativismo, a los acuerdos políticos para proteger a los ladrones, o vamos a ser valientes y votar a…"
carlos lopez,0,67,2019-05-16 21:40:31,"RT @AR2i21912: ""Vamos a apelar al corporativismo, a los acuerdos políticos para proteger a los ladrones, o vamos a ser valientes y votar a…"
Jorge Rubio Aguilera,0,67,2019-05-16 21:40:20,"RT @AR2i21912: ""Vamos a apelar al corporativismo, a los acuerdos políticos para proteger a los ladrones, o vamos a ser valientes y votar a…"
